fips,county_name,total_population,women_repro_age,pct_uninsured_women,pct_poverty,pct_no_vehicle,pct_broadband,rucc_code,rural_binary,rural_label,hpsa_score,hpsa_designated,births_1st_trimester,births_2nd_trimester,births_3rd_trimester,births_no_prenatal,births_unknown,total_births,pct_1st_trimester,pct_3rd_trimester,pct_no_prenatal,births_late_no_prenatal,pct_late_no_prenatal,has_suppressed_data,obgyn_count,obgyn_subsp_count,total_providers,providers_per_10k,region,western_nc,helene_impacted
37103,Jones,9245,5776,24.23,21.3,7.71,76.19,8,1,Rural/Non-metro,19.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37105,Lee,64565,43000,32.17,15.5,4.25,76.03,4,1,Rural/Non-metro,20.0,1,,,,,,,,,,,,,3.0,0.0,3.0,0.7,Piedmont/Coastal,0,0
37107,Lenoir,54917,36979,29.6,22.5,8.3,79.59,4,1,Rural/Non-metro,22.0,1,,,,,,,,,,,,,6.0,0.0,6.0,1.62,Piedmont/Coastal,0,0
37109,Lincoln,90359,57614,27.92,9.0,3.36,90.44,1,0,Metro,16.0,1,,,,,,,,,,,,,4.0,0.0,4.0,0.69,Piedmont/Coastal,0,0
37111,McDowell,44679,27967,26.86,14.0,6.36,82.96,6,1,Rural/Non-metro,19.0,1,,,,,,,,,,,,,4.0,1.0,5.0,1.79,Western NC,1,1
37113,Macon,37533,23466,24.72,14.4,5.31,80.78,7,1,Rural/Non-metro,17.0,1,,,,,,,,,,,,,4.0,0.0,4.0,1.7,Western NC,1,0
37115,Madison,21640,13661,27.79,11.4,3.64,81.72,2,0,Metro,19.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Western NC,1,0
37117,Martin,21773,14733,27.0,19.6,8.61,81.45,6,1,Rural/Non-metro,21.0,1,,,,,,,,,,,,,1.0,0.0,1.0,0.68,Piedmont/Coastal,0,0
37119,Mecklenburg,1130906,765637,32.18,10.4,5.68,93.14,1,0,Metro,18.0,1,94890.0,26829.0,6537.0,5603.0,257.0,134116.0,70.75,4.87,4.18,12140.0,9.05,0.0,243.0,30.0,273.0,3.57,Piedmont/Coastal,0,0
37121,Mitchell,14973,9427,24.53,13.0,8.95,80.47,8,1,Rural/Non-metro,20.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Western NC,1,1
37123,Montgomery,25874,16739,27.95,16.1,4.35,78.67,8,1,Rural/Non-metro,20.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37125,Moore,102840,66214,27.47,10.0,4.13,89.57,3,0,Metro,0.0,0,,,,,,,,,,,,,22.0,4.0,26.0,3.93,Piedmont/Coastal,0,0
37127,Nash,95451,63749,29.73,14.0,7.38,82.54,3,0,Metro,19.0,1,,,,,,,,,,,,,8.0,0.0,8.0,1.25,Piedmont/Coastal,0,0
37129,New Hanover,231214,156538,30.44,12.4,5.88,91.87,2,0,Metro,19.0,1,14094.0,4479.0,713.0,292.0,105.0,19683.0,71.6,3.62,1.48,1005.0,5.11,0.0,58.0,9.0,67.0,4.28,Piedmont/Coastal,0,0
37131,Northampton,17212,10857,22.92,20.0,7.99,69.79,9,1,Rural/Non-metro,20.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37133,Onslow,208537,128275,39.68,11.7,4.23,92.17,3,0,Metro,13.0,1,23860.0,6486.0,2170.0,1727.0,393.0,34636.0,68.89,6.27,4.99,3897.0,11.25,0.0,10.0,1.0,11.0,0.86,Piedmont/Coastal,0,0
37135,Orange,147292,104893,38.24,12.4,4.86,93.57,2,0,Metro,19.0,1,8079.0,1588.0,393.0,108.0,234.0,10402.0,77.67,3.78,1.04,501.0,4.82,0.0,83.0,30.0,113.0,10.77,Piedmont/Coastal,0,0
37137,Pamlico,12315,7082,19.53,12.4,3.92,85.29,9,1,Rural/Non-metro,15.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37139,Pasquotank,40830,26973,30.43,10.0,6.6,89.91,4,1,Rural/Non-metro,16.0,1,,,,,,,,,,,,,3.0,0.0,3.0,1.11,Piedmont/Coastal,0,0
37141,Pender,63475,40263,28.83,10.7,3.01,88.03,2,0,Metro,21.0,1,,,,,,,,,,,,,1.0,0.0,1.0,0.25,Piedmont/Coastal,0,0
37143,Perquimans,13146,8412,24.35,11.4,5.95,84.12,8,1,Rural/Non-metro,16.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37145,Person,39275,25965,28.16,18.4,4.6,87.52,2,0,Metro,20.0,1,,,,,,,,,,,,,1.0,0.0,1.0,0.39,Piedmont/Coastal,0,0
37147,Pitt,172279,124964,38.47,19.4,8.7,87.06,3,0,Metro,18.0,1,15028.0,2529.0,481.0,280.0,181.0,18499.0,81.24,2.6,1.51,761.0,4.11,0.0,54.0,5.0,59.0,4.72,Piedmont/Coastal,0,0
37149,Polk,19689,12344,20.86,13.7,3.32,82.86,8,1,Rural/Non-metro,14.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Western NC,1,0
37151,Randolph,145322,94561,30.46,14.8,3.47,86.04,2,0,Metro,13.0,1,10554.0,2505.0,629.0,262.0,119.0,14069.0,75.02,4.47,1.86,891.0,6.33,0.0,5.0,0.0,5.0,0.53,Piedmont/Coastal,0,0
37153,Richmond,42818,28801,33.14,25.2,11.21,84.55,4,1,Rural/Non-metro,23.0,1,,,,,,,,,,,,,4.0,0.0,4.0,1.39,Piedmont/Coastal,0,0
37155,Robeson,116858,81019,35.26,28.8,8.01,73.62,4,1,Rural/Non-metro,24.0,1,9791.0,3870.0,1228.0,1108.0,302.0,16299.0,60.07,7.53,6.8,2336.0,14.33,0.0,8.0,1.0,9.0,1.11,Piedmont/Coastal,0,0
37157,Rockingham,91585,58952,27.23,16.8,6.5,81.99,2,0,Metro,15.0,1,,,,,,,,,,,,,5.0,0.0,5.0,0.85,Piedmont/Coastal,0,0
37159,Rowan,148487,97077,30.99,15.8,5.97,88.72,1,0,Metro,17.0,1,10317.0,2927.0,619.0,435.0,63.0,14361.0,71.84,4.31,3.03,1054.0,7.34,0.0,5.0,0.0,5.0,0.52,Piedmont/Coastal,0,0
37161,Rutherford,64850,41982,27.13,17.6,5.42,82.62,4,1,Rural/Non-metro,21.0,1,,,,,,,,,,,,,4.0,1.0,5.0,1.19,Western NC,1,1
37163,Sampson,59245,39191,33.2,20.2,5.03,82.89,6,1,Rural/Non-metro,21.0,1,,,,,,,,,,,,,3.0,0.0,3.0,0.77,Piedmont/Coastal,0,0
37165,Scotland,34353,21882,33.15,26.6,11.34,84.53,6,1,Rural/Non-metro,24.0,1,,,,,,,,,,,,,3.0,0.0,3.0,1.37,Piedmont/Coastal,0,0
37167,Stanly,63557,40852,29.95,14.2,5.88,87.27,6,1,Rural/Non-metro,14.0,1,,,,,,,,,,,,,6.0,0.0,6.0,1.47,Piedmont/Coastal,0,0
37169,Stokes,44889,28514,26.0,12.0,3.83,84.86,2,0,Metro,14.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37171,Surry,71407,47043,29.48,16.7,4.82,83.35,6,1,Rural/Non-metro,19.0,1,,,,,,,,,,,,,9.0,0.0,9.0,1.91,Piedmont/Coastal,0,0
37173,Swain,14065,9336,28.78,21.1,9.41,75.79,9,1,Rural/Non-metro,20.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Western NC,1,0
37175,Transylvania,33243,20766,21.94,14.2,4.35,86.18,6,1,Rural/Non-metro,15.0,1,,,,,,,,,,,,,4.0,0.0,4.0,1.93,Western NC,1,1
37177,Tyrrell,3376,2019,24.86,20.8,7.92,74.47,9,1,Rural/Non-metro,15.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37179,Union,244975,165380,34.85,7.7,2.35,93.39,1,0,Metro,14.0,1,16577.0,4267.0,869.0,398.0,20.0,22131.0,74.9,3.93,1.8,1267.0,5.73,0.0,17.0,0.0,17.0,1.03,Piedmont/Coastal,0,0
37181,Vance,42361,29524,31.54,19.0,8.18,81.9,6,1,Rural/Non-metro,20.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37183,Wake,1151009,769474,32.33,7.9,4.08,94.66,1,0,Metro,22.0,1,83372.0,21496.0,6364.0,4225.0,762.0,116219.0,71.74,5.48,3.64,10589.0,9.11,0.0,180.0,21.0,201.0,2.61,Piedmont/Coastal,0,0
37185,Warren,18751,11834,25.13,22.2,8.34,76.49,8,1,Rural/Non-metro,21.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37187,Washington,10905,6585,22.77,24.7,17.12,72.93,9,1,Rural/Non-metro,20.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37189,Watauga,54607,39236,44.27,24.7,4.13,89.02,5,1,Rural/Non-metro,20.0,1,,,,,,,,,,,,,5.0,0.0,5.0,1.27,Western NC,1,0
37191,Wayne,117606,77932,33.24,16.9,7.06,88.73,3,0,Metro,20.0,1,10103.0,3240.0,871.0,302.0,104.0,14620.0,69.1,5.96,2.07,1173.0,8.02,0.0,7.0,0.0,7.0,0.9,Piedmont/Coastal,0,0
37193,Wilkes,65983,42123,27.45,16.4,5.9,86.37,6,1,Rural/Non-metro,21.0,1,,,,,,,,,,,,,5.0,0.0,5.0,1.19,Western NC,1,0
37195,Wilson,78648,53226,30.67,21.0,8.58,81.73,4,1,Rural/Non-metro,19.0,1,,,,,,,,,,,,,6.0,0.0,6.0,1.13,Piedmont/Coastal,0,0
37197,Yadkin,37419,23674,26.78,13.6,5.42,83.8,2,0,Metro,15.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37199,Yancey,18676,11598,24.36,14.9,5.06,80.51,8,1,Rural/Non-metro,17.0,1,,,,,,,,,,,,,1.0,0.0,1.0,0.86,Western NC,1,1
